ticker,quarter,cov_pct,trust_pct,liq_pct,val_pct
CMCSA,2015Q4,,25.0,,
CMCSA,2016Q1,,33.33333333333333,,
CMCSA,2016Q2,,66.66666666666667,,
CMCSA,2016Q3,,58.333333333333336,,
CMCSA,2016Q4,,41.66666666666666,,
CMCSA,2017Q1,,25.0,,
CMCSA,2017Q2,,16.666666666666657,,
CMCSA,2017Q3,,16.666666666666657,,
CMCSA,2017Q4,50.0,16.66666666666667,,
CMCSA,2018Q1,50.0,0.0,,
CMCSA,2018Q2,50.0,14.285714285714292,,
CMCSA,2018Q3,50.0,28.571428571428577,,
CMCSA,2018Q4,50.0,35.71428571428572,,
CMCSA,2019Q1,65.0,28.57142857142857,,
CMCSA,2019Q2,75.0,57.142857142857146,,
CMCSA,2019Q3,40.0,50.00000000000001,,
CMCSA,2019Q4,65.0,35.714285714285715,,
CMCSA,2020Q1,40.0,35.714285714285715,,
CMCSA,2020Q2,65.0,42.85714285714286,,
CMCSA,2020Q3,65.0,50.0,33.3,
CMCSA,2020Q4,40.0,35.714285714285715,28.6,
CMCSA,2021Q1,40.0,43.75,42.9,
CMCSA,2021Q2,40.0,37.5,28.6,
CMCSA,2021Q3,65.0,25.0,28.6,
CMCSA,2021Q4,40.0,43.75,28.6,
CMCSA,2022Q1,40.0,68.75,28.6,
CMCSA,2022Q2,40.0,50.0,57.1,
CMCSA,2022Q3,40.0,31.25,42.9,
CMCSA,2022Q4,82.5,62.5,71.4,
CMCSA,2023Q1,70.0,43.75,28.6,
CMCSA,2023Q2,68.0,37.5,57.1,
CMCSA,2023Q3,28.0,68.75,28.6,
CMCSA,2023Q4,48.0,37.5,57.1,
CMCSA,2024Q1,40.0,56.25,28.6,
CMCSA,2024Q2,84.0,43.75,42.9,71.42857142857143
CMCSA,2024Q3,60.0,50.0,28.6,100.0
CMCSA,2024Q4,16.0,18.75,57.1,71.42857142857143
CMCSA,2025Q1,44.0,37.5,28.6,100.0
CMCSA,2025Q2,44.0,62.5,57.1,100.0
CMCSA,2025Q3,52.0,43.75,28.6,
DASH,2020Q4,,,0.0,
DASH,2021Q1,,6.25,0.0,
DASH,2021Q2,10.0,0.0,0.0,
DASH,2021Q3,10.0,43.75,0.0,
DASH,2021Q4,67.5,0.0,0.0,
DASH,2022Q1,22.5,0.0,0.0,
DASH,2022Q2,42.5,0.0,0.0,
DASH,2022Q3,30.0,6.25,0.0,
DASH,2022Q4,17.5,0.0,0.0,
DASH,2023Q1,20.0,0.0,0.0,
DASH,2023Q2,26.0,12.5,0.0,
DASH,2023Q3,46.0,12.5,14.3,
DASH,2023Q4,16.0,0.0,14.3,
DASH,2024Q1,26.0,0.0,14.3,
DASH,2024Q2,52.0,12.5,0.0,100.0
DASH,2024Q3,16.0,18.75,14.3,14.285714285714285
DASH,2024Q4,22.0,37.5,14.3,14.285714285714285
DASH,2025Q1,10.0,12.5,14.3,28.57142857142857
DASH,2025Q2,50.0,12.5,14.3,28.57142857142857
DASH,2025Q3,10.0,18.75,14.3,
DIS,2015Q4,,16.666666666666657,,
DIS,2016Q1,,25.0,,
DIS,2016Q2,,41.66666666666667,,
DIS,2016Q3,,83.33333333333334,,
DIS,2016Q4,,75.0,,
DIS,2017Q1,,50.0,,
DIS,2017Q2,,58.333333333333336,,
DIS,2017Q3,,66.66666666666667,,
DIS,2017Q4,,66.66666666666667,,
DIS,2018Q1,,41.66666666666666,,
DIS,2018Q2,,50.0,,
DIS,2018Q3,,64.28571428571429,,
DIS,2018Q4,,57.142857142857146,,
DIS,2019Q1,10.0,50.00000000000001,,
DIS,2019Q2,10.0,14.285714285714292,,
DIS,2019Q3,60.0,35.714285714285715,,
DIS,2019Q4,60.0,35.71428571428572,,
DIS,2020Q1,50.0,14.285714285714285,,
DIS,2020Q2,25.0,14.285714285714285,,
DIS,2020Q3,25.0,42.85714285714286,50.0,
DIS,2020Q4,35.0,13.392857142857146,42.9,
DIS,2021Q1,50.0,37.5,57.1,
DIS,2021Q2,53.3,62.5,42.9,
DIS,2021Q3,17.5,12.5,42.9,
DIS,2021Q4,35.0,43.75,57.1,
DIS,2022Q1,70.0,37.5,57.1,
DIS,2022Q2,10.0,43.75,42.9,
DIS,2022Q3,22.5,43.75,57.1,
DIS,2022Q4,10.0,25.0,28.6,
DIS,2023Q1,54.0,43.75,71.4,
DIS,2023Q2,40.0,25.0,28.6,
DIS,2023Q3,50.0,37.5,85.7,
DIS,2023Q4,60.0,43.75,42.9,
DIS,2024Q1,58.0,25.0,42.9,
DIS,2024Q2,10.0,31.25,28.6,28.57142857142857
DIS,2024Q3,20.0,37.5,85.7,42.85714285714285
DIS,2024Q4,30.0,50.0,0.0,57.14285714285714
DIS,2025Q1,48.0,50.0,42.9,57.14285714285714
DIS,2025Q2,10.0,25.0,28.6,42.85714285714285
DIS,2025Q3,10.0,50.0,42.9,
T,2015Q4,,58.33333333333334,,
T,2016Q1,,83.33333333333334,,
T,2016Q2,,75.0,,
T,2016Q3,,33.33333333333333,,
T,2016Q4,,41.66666666666667,,
T,2017Q1,,41.66666666666667,,
T,2017Q2,,66.66666666666667,,
T,2017Q3,,41.66666666666667,,
T,2017Q4,,16.66666666666667,,
T,2018Q1,,50.00000000000001,,
T,2018Q2,,42.85714285714286,,
T,2018Q3,,64.28571428571429,,
T,2018Q4,,42.85714285714286,,
T,2019Q1,,57.142857142857146,,
T,2019Q2,,57.142857142857146,,
T,2019Q3,,57.142857142857146,,
T,2019Q4,,57.142857142857146,,
T,2020Q1,,57.142857142857146,,
T,2020Q2,,42.85714285714286,,
T,2020Q3,,71.42857142857143,83.3,
T,2020Q4,,58.92857142857143,71.4,
T,2021Q1,,87.5,85.7,
T,2021Q2,,50.0,71.4,
T,2021Q3,62.5,68.75,71.4,
T,2021Q4,50.0,56.25,71.4,
T,2022Q1,67.5,56.25,71.4,
T,2022Q2,82.5,50.0,71.4,
T,2022Q3,62.5,62.5,71.4,
T,2022Q4,50.0,50.0,57.1,
T,2023Q1,62.0,37.5,42.9,
T,2023Q2,72.0,31.25,42.9,
T,2023Q3,28.0,50.0,57.1,
T,2023Q4,42.0,56.25,85.7,
T,2024Q1,40.0,68.75,85.7,
T,2024Q2,16.0,62.5,57.1,85.71428571428571
T,2024Q3,48.0,62.5,57.1,71.42857142857143
T,2024Q4,48.0,62.5,42.9,100.0
T,2025Q1,36.0,62.5,71.4,85.71428571428571
T,2025Q2,32.0,68.75,42.9,85.71428571428571
T,2025Q3,74.0,75.0,71.4,
TMUS,2015Q4,,33.333333333333336,,
TMUS,2016Q1,,0.0,,
TMUS,2016Q2,,8.333333333333329,,
TMUS,2016Q3,,0.0,,
TMUS,2016Q4,,0.0,,
TMUS,2017Q1,,16.66666666666667,,
TMUS,2017Q2,,0.0,,
TMUS,2017Q3,,16.66666666666667,,
TMUS,2017Q4,,33.33333333333333,,
TMUS,2018Q1,,25.0,,
TMUS,2018Q2,,28.571428571428573,,
TMUS,2018Q3,,21.42857142857143,,
TMUS,2018Q4,,42.85714285714286,,
TMUS,2019Q1,50.0,42.85714285714286,,
TMUS,2019Q2,50.0,28.57142857142857,,
TMUS,2019Q3,50.0,35.714285714285715,,
TMUS,2019Q4,25.0,50.0,,
TMUS,2020Q1,60.0,14.285714285714292,,
TMUS,2020Q2,60.0,35.71428571428572,,
TMUS,2020Q3,60.0,21.42857142857143,0.0,
TMUS,2020Q4,75.0,47.32142857142857,57.1,
TMUS,2021Q1,60.0,31.25,28.6,
TMUS,2021Q2,80.0,37.5,57.1,
TMUS,2021Q3,82.5,50.0,57.1,
TMUS,2021Q4,32.5,50.0,42.9,
TMUS,2022Q1,37.5,43.75,42.9,
TMUS,2022Q2,42.5,56.25,28.6,
TMUS,2022Q3,82.5,62.5,28.6,
TMUS,2022Q4,57.5,62.5,42.9,
TMUS,2023Q1,66.0,62.5,85.7,
TMUS,2023Q2,38.0,62.5,71.4,
TMUS,2023Q3,78.0,62.5,71.4,
TMUS,2023Q4,60.0,68.75,71.4,
TMUS,2024Q1,44.0,81.25,71.4,
TMUS,2024Q2,28.0,75.0,71.4,42.85714285714285
TMUS,2024Q3,62.0,68.75,42.9,57.14285714285714
TMUS,2024Q4,80.0,31.25,71.4,42.85714285714285
TMUS,2025Q1,84.0,50.0,57.1,42.85714285714285
TMUS,2025Q2,64.0,37.5,71.4,57.14285714285714
TMUS,2025Q3,90.0,50.0,57.1,
VZ,2015Q4,,58.333333333333336,,
VZ,2016Q1,,66.66666666666667,,
VZ,2016Q2,,50.00000000000001,,
VZ,2016Q3,,33.33333333333334,,
VZ,2016Q4,,41.66666666666667,,
VZ,2017Q1,,41.66666666666666,,
VZ,2017Q2,,58.33333333333334,,
VZ,2017Q3,,25.0,,
VZ,2017Q4,,41.66666666666666,,
VZ,2018Q1,,50.0,,
VZ,2018Q2,,42.85714285714286,,
VZ,2018Q3,,78.57142857142858,,
VZ,2018Q4,,50.00000000000001,,
VZ,2019Q1,,78.57142857142858,,
VZ,2019Q2,,64.28571428571429,,
VZ,2019Q3,,78.57142857142858,,
VZ,2019Q4,,85.71428571428572,,
VZ,2020Q1,,85.71428571428572,,
VZ,2020Q2,,78.57142857142858,,
VZ,2020Q3,,85.71428571428572,66.7,
VZ,2020Q4,,86.60714285714286,85.7,
VZ,2021Q1,,68.75,71.4,
VZ,2021Q2,,87.5,85.7,
VZ,2021Q3,,81.25,85.7,
VZ,2021Q4,,81.25,85.7,
VZ,2022Q1,,81.25,85.7,
VZ,2022Q2,,68.75,85.7,
VZ,2022Q3,,62.5,85.7,
VZ,2022Q4,,75.0,85.7,
VZ,2023Q1,28.0,75.0,57.1,
VZ,2023Q2,28.0,68.75,85.7,
VZ,2023Q3,22.0,50.0,42.9,
VZ,2023Q4,28.0,43.75,28.6,
VZ,2024Q1,72.0,50.0,57.1,
VZ,2024Q2,64.0,68.75,85.7,57.14285714285714
VZ,2024Q3,78.0,50.0,71.4,85.71428571428571
VZ,2024Q4,74.0,75.0,85.7,85.71428571428571
VZ,2025Q1,36.0,75.0,85.7,71.42857142857143
VZ,2025Q2,68.0,75.0,85.7,71.42857142857143
VZ,2025Q3,48.0,68.75,85.7,
