ticker,quarter,liq_pct
T,2020Q3,83.3
T,2020Q4,71.4
T,2021Q1,85.7
T,2021Q2,71.4
T,2021Q3,71.4
T,2021Q4,71.4
T,2022Q1,71.4
T,2022Q2,71.4
T,2022Q3,71.4
T,2022Q4,57.1
T,2023Q1,42.9
T,2023Q2,42.9
T,2023Q3,57.1
T,2023Q4,85.7
T,2024Q1,85.7
T,2024Q2,57.1
T,2024Q3,57.1
T,2024Q4,42.9
T,2025Q1,71.4
T,2025Q2,42.9
T,2025Q3,71.4
DIS,2020Q3,50.0
DIS,2020Q4,42.9
DIS,2021Q1,57.1
DIS,2021Q2,42.9
DIS,2021Q3,42.9
DIS,2021Q4,57.1
DIS,2022Q1,57.1
DIS,2022Q2,42.9
DIS,2022Q3,57.1
DIS,2022Q4,28.6
DIS,2023Q1,71.4
DIS,2023Q2,28.6
DIS,2023Q3,85.7
DIS,2023Q4,42.9
DIS,2024Q1,42.9
DIS,2024Q2,28.6
DIS,2024Q3,85.7
DIS,2024Q4,0.0
DIS,2025Q1,42.9
DIS,2025Q2,28.6
DIS,2025Q3,42.9
VZ,2020Q3,66.7
VZ,2020Q4,85.7
VZ,2021Q1,71.4
VZ,2021Q2,85.7
VZ,2021Q3,85.7
VZ,2021Q4,85.7
VZ,2022Q1,85.7
VZ,2022Q2,85.7
VZ,2022Q3,85.7
VZ,2022Q4,85.7
VZ,2023Q1,57.1
VZ,2023Q2,85.7
VZ,2023Q3,42.9
VZ,2023Q4,28.6
VZ,2024Q1,57.1
VZ,2024Q2,85.7
VZ,2024Q3,71.4
VZ,2024Q4,85.7
VZ,2025Q1,85.7
VZ,2025Q2,85.7
VZ,2025Q3,85.7
SPOT,2020Q3,16.7
SPOT,2020Q4,14.3
SPOT,2021Q1,14.3
SPOT,2021Q2,14.3
SPOT,2021Q3,14.3
SPOT,2021Q4,14.3
SPOT,2022Q1,14.3
SPOT,2022Q2,14.3
SPOT,2022Q3,14.3
SPOT,2022Q4,14.3
SPOT,2023Q1,14.3
SPOT,2023Q2,14.3
SPOT,2023Q3,0.0
SPOT,2023Q4,0.0
SPOT,2024Q1,0.0
SPOT,2024Q2,14.3
SPOT,2024Q3,0.0
SPOT,2024Q4,28.6
SPOT,2025Q1,0.0
SPOT,2025Q2,0.0
SPOT,2025Q3,0.0
TMUS,2020Q3,0.0
TMUS,2020Q4,57.1
TMUS,2021Q1,28.6
TMUS,2021Q2,57.1
TMUS,2021Q3,57.1
TMUS,2021Q4,42.9
TMUS,2022Q1,42.9
TMUS,2022Q2,28.6
TMUS,2022Q3,28.6
TMUS,2022Q4,42.9
TMUS,2023Q1,85.7
TMUS,2023Q2,71.4
TMUS,2023Q3,71.4
TMUS,2023Q4,71.4
TMUS,2024Q1,71.4
TMUS,2024Q2,71.4
TMUS,2024Q3,42.9
TMUS,2024Q4,71.4
TMUS,2025Q1,57.1
TMUS,2025Q2,71.4
TMUS,2025Q3,57.1
CMCSA,2020Q3,33.3
CMCSA,2020Q4,28.6
CMCSA,2021Q1,42.9
CMCSA,2021Q2,28.6
CMCSA,2021Q3,28.6
CMCSA,2021Q4,28.6
CMCSA,2022Q1,28.6
CMCSA,2022Q2,57.1
CMCSA,2022Q3,42.9
CMCSA,2022Q4,71.4
CMCSA,2023Q1,28.6
CMCSA,2023Q2,57.1
CMCSA,2023Q3,28.6
CMCSA,2023Q4,57.1
CMCSA,2024Q1,28.6
CMCSA,2024Q2,42.9
CMCSA,2024Q3,28.6
CMCSA,2024Q4,57.1
CMCSA,2025Q1,28.6
CMCSA,2025Q2,57.1
CMCSA,2025Q3,28.6
DASH,2020Q4,0.0
DASH,2021Q1,0.0
DASH,2021Q2,0.0
DASH,2021Q3,0.0
DASH,2021Q4,0.0
DASH,2022Q1,0.0
DASH,2022Q2,0.0
DASH,2022Q3,0.0
DASH,2022Q4,0.0
DASH,2023Q1,0.0
DASH,2023Q2,0.0
DASH,2023Q3,14.3
DASH,2023Q4,14.3
DASH,2024Q1,14.3
DASH,2024Q2,0.0
DASH,2024Q3,14.3
DASH,2024Q4,14.3
DASH,2025Q1,14.3
DASH,2025Q2,14.3
DASH,2025Q3,14.3
RELX,2020Q3,100.0
RELX,2020Q4,100.0
RELX,2021Q1,100.0
RELX,2021Q2,100.0
RELX,2021Q3,100.0
RELX,2021Q4,100.0
RELX,2022Q1,100.0
RELX,2022Q2,100.0
RELX,2022Q3,100.0
RELX,2022Q4,100.0
RELX,2023Q1,100.0
RELX,2023Q2,100.0
RELX,2023Q3,100.0
RELX,2023Q4,100.0
RELX,2024Q1,100.0
RELX,2024Q2,100.0
RELX,2024Q3,100.0
RELX,2024Q4,100.0
RELX,2025Q1,100.0
RELX,2025Q2,100.0
RELX,2025Q3,100.0
