ticker,quarter,val_metric,val_pct
T,2024Q2,23.073421422282188,85.71428571428571
T,2024Q3,35.94113233320415,71.42857142857143
T,2024Q4,23.955669580088095,100.0
T,2025Q1,26.13822892513495,85.71428571428571
T,2025Q2,26.771821454406155,85.71428571428571
DIS,2024Q2,45.6764440143321,28.57142857142857
DIS,2024Q3,78.06131746692331,42.857142857142854
DIS,2024Q4,44.369152446091334,57.14285714285714
DIS,2025Q1,43.979559192931106,57.14285714285714
DIS,2025Q2,52.16522451808238,42.857142857142854
VZ,2024Q2,27.064206024797333,57.14285714285714
VZ,2024Q3,33.20169829902995,85.71428571428571
VZ,2024Q4,25.504783078508545,85.71428571428571
VZ,2025Q1,27.62972012886667,71.42857142857143
VZ,2025Q2,26.856341093418592,71.42857142857143
SPOT,2024Q2,196.37660949489754,14.285714285714285
SPOT,2024Q3,163.01208809196226,28.57142857142857
SPOT,2024Q4,162.87380592147565,28.57142857142857
SPOT,2025Q1,302.1432551171229,14.285714285714285
SPOT,2025Q2,1898.1409344467536,14.285714285714285
TMUS,2024Q2,39.542044980350866,42.857142857142854
TMUS,2024Q3,43.222708100402265,57.14285714285714
TMUS,2024Q4,46.297669793923234,42.857142857142854
TMUS,2025Q1,51.714672730822436,42.857142857142854
TMUS,2025Q2,45.18245737552642,57.14285714285714
CMCSA,2024Q2,24.573607252604166,71.42857142857143
CMCSA,2024Q3,25.530923619140626,100.0
CMCSA,2024Q4,27.326786111650495,71.42857142857143
CMCSA,2025Q1,24.19303479026399,100.0
CMCSA,2025Q2,11.247178936361053,100.0
DASH,2024Q2,-681.7321750878266,100.0
DASH,2024Q3,226.96834297904974,14.285714285714285
DASH,2024Q4,256.5879031007752,14.285714285714285
DASH,2025Q1,234.91186145625127,28.57142857142857
DASH,2025Q2,316.8308868628445,28.57142857142857
